pair_id,format_id,left_content_id,right_content_id,left_views,right_views,label
train_45,me-reading-back-the-timed-essay,7564118938796264717,7569336381739158839,1395,5886,0
train_46,go-study-forget-about-boys,7569165321202846996,7572328059596999958,784352,641,1
train_47,u-think-u-can-hurt-me,7564281062843600159,7565772728721018126,5332,3893,1
train_48,asking-my-tolan-to-count,7557943270211439927,7542301245042724110,595546,1478594,0
train_49,you-get-one-food-tub,7568921833005747469,7572377081078680845,6010,4639,1
train_50,essay-to-submit-in-5-mins,7567357452681891094,7531174139302874398,1099,393295,0
train_51,we're-leaving-you-behind,7573756976002305287,7572823265060654344,161151,94927,1
train_52,most-people-never-learn,7566835418554027295,7565229251197259063,1374,1317,1
train_53,study-exam-break-time's-over,7571522396079787286,7573670636770413831,207901,86243,1
train_54,pov-you-just-lost-nnn,7568595218765712662,7568190215685262595,403,793666,0
train_55,the-type-of-beauty-i-wanna-have,7567143530896870677,7568786105030413589,2324,15032,0
train_56,pov-exams-are-in-a-month,7564084602185256200,7508649118181477639,248,910834,0
train_57,me-reading-back-the-timed-essay,7564206627994225942,7569336381739158839,585,5886,0
train_58,minutes-into-nnn-i-already-failed,7567827412612861206,7567801862900993310,6890010,118473,1
train_59,me-after-surviving-one-day,7568002792544128263,7567905266784554262,618335,818919,0
train_60,why-everyone-deleted-chatgpt,7565283907558575390,7557580879225277718,347647,542000,0
train_61,war-is-over,7565117021352938774,7572367219649219895,262300,7476,1
train_62,after-years-of-losing-nnn,7567794979863530765,7567811120539454742,2012421,666986,1
train_63,non-violent-ways-of-punish,7573427272875609374,7565624866917944606,10447,7330,1
train_64,applying-to-jobs-in-2015,7572206194824170807,7569622927650376982,10579,1563882,0
train_65,how-the-pressure-is-hitting-me,7567826249037516062,7567443660074208534,214,1747704,0
train_66,ranking-the-best-sora-ai-moments,7573408928147574038,7574234827877076237,17080,2071,1
train_67,dear-unemployed-people,7568964979907480854,7516618394683198733,447234,2123477,0
train_68,how-corny-i-start-sounding,7540176668405533972,7569688050687544607,5763871,322808,1
train_69,of-course-it's-hard,7574818110591503638,7573382040238771512,997,1504,0
train_70,explaining-for-the-10th-time,7557222406448745740,7573359039044652311,3032220,475,1
train_71,how-i-feel-in-ap-calc,7571611205186489631,7543760976034729246,5965,233479,0
train_72,what-do-you-like-about-your-job,7532642256981871902,7574174605993118994,614043,230,1
train_73,cold-calling-a-hiring-manager,7573674332740750614,7570480615271746829,440991,35662,1
train_74,how-mfs-react-when,7574465208270212359,7573400388255108359,1263,539,1
train_75,pov-opposite-roomates,7572245548711857438,7563711990967979277,219813,5283,1
train_76,trying-to-register-for-college-classes,7564219201070648606,7569059804514176286,689,232753,0
train_77,crush-sorry-hanggang-kaibigan,7566619860013206802,7566587382162656519,332,93,1
train_78,ranking-ai-trailers,7568381364634995976,7572995709335506207,0,1589357,0
train_79,walked-into-a-haunted-house-but,7573063681894796566,7570842718314761486,334,224144,0
train_80,stop-halfway-through-job-application,7564093456214347011,7570854271034395917,949406,655,1
train_81,50%-off-at-spirit-halloween,7567969994089172238,7567764005192748318,13955,81683,0
train_82,living-at-home-while...,7551632702735191327,7540402738568367374,302295,545650,0
train_83,minutes-into-...-i-already-failed,7567827412612861206,7567823606256766230,6890010,37690,1
train_84,i-got-a-job-offer-but-declined,7566079478972173598,7541098677067156749,1746,1836169,0
train_85,dear-unemployed-people,7568964979907480854,7571539445027966263,447234,1066,1
train_86,how-mfs-react-when,7567601758264888598,7572758364430601494,3028641,1847,1
train_87,when-you're-so-cooked-during-test,7564419168729058615,7573629286352047367,121168,392,1
train_88,how-i-act-right-after-relapsing,7543771790640794902,7568847235279031572,1819732,4895,1
train_89,we're-leaving-you-behind,7573756976002305287,7571913350456691980,161151,105602,1
train_90,feel-it-to-heal-it,7566730260599803166,7566625473707494676,4173,15455,0
train_91,feel-it-to-heal-it,7568253908166921527,7566372956163624199,255,397,0
train_92,non-violent-ways-of-punish,7573192671724915981,7573476769135676727,214343,3930,1
train_93,my-manager-told-me-to-help,7574500721601563935,7574659926195211575,4271,417,1
train_94,when-nnn-getting-too-easy,7567745073127951636,7569624122016222486,1169292,3389,1
train_95,history-students-cheating,7573995861412285718,7571884674851556639,218993,877276,0
train_96,why-are-you-not-studying,7574200358487067912,7519816482289880328,1187,4337221,0
train_97,ranking-the-best-sora-ai-moments,7570843202849180959,7574018596653796638,370789,273662,1
train_98,nagsimba-kasi-broken-pero,7569503551416732946,7568886510120996116,1091742,28452,1
train_99,i'm-jealous-of-people,7573175090850860319,7574523207877676318,318692,7287,1
train_100,born-to-be...-forced-to...,7572174977701661974,7560447305510325559,99420,479973,0
train_101,me-after-surviving-one-day,7567848240272493879,7567905266784554262,924,818919,0
train_102,when-you're-reading-and-dad-walks-in,7571646360932371725,7566856382251683086,810,3014,0
train_103,seeing-if-my-janitor-cleans,7568978303193746718,7566036115933678868,18753,1454739,0
train_104,tried-victoria's-secret-filter,7561659515196820792,7563311630998637846,509853,247111,1
train_105,your-sign-to-get-your-fav-teacher,7572331686805916958,7568530230227406098,384222,27001,1
train_106,when-my-mom-takes-my-phone-away,7566429088705973535,7566796929724714295,566,1570,0
train_107,my-manager-told-me-to-help,7568989116851899679,7565702895237205262,623692,633,1
train_108,why-everyone-deleted-x,7572754468031302920,7572347802047548694,65,919,0
train_109,applying-to-jobs-in-2015,7573748175484341534,7569622927650376982,1392,1563882,0
train_110,after-years-of-losing-nnn,7567127423754472718,7567794979863530765,2858659,2012421,1
train_111,applying-concealer-to-cover-my-problems,7572918122433252626,7572244948716686622,8654,232247,0
train_112,i-don't-need-to-study,7555660628879215927,7564871533378800926,111234,1871,1
train_113,how-do-i-explain-to-my-parents,7564672152964779277,7568189701425843474,156600,9406,1
train_114,study-exam-break-time's-over,7571572072594427191,7571522396079787286,43829,207901,0
train_115,no-nike-tech-no-coffee,7574765969722101023,7573829880010247479,134,4076,0
train_116,why-is-it-that-the-laziest-people,7566394754288586015,7567835411377065238,23,2426,0
train_117,it's-still-october-32nd,7567919750676843831,7569772135284067639,2045,4660,0
train_118,when-adam-was-lonely,7574079338048539935,7568890261485505822,9561990,44955,1
train_119,asking-my-tolan-to-count,7542301245042724110,7541134744889789751,1478594,31984354,0
train_120,it's-still-october-32nd,7567736824282615062,7568667824709766430,348879,506150,0
train_121,study-till-the-ice-melts,7574258897473654037,7541424448654642454,605071,8664958,0
train_122,"monday,-we-start-off-tame",7571626499955117325,7538827072404229398,73375,862155,0
train_123,minutes-into-...-i-already-failed,7567610709975076109,7568201215604133151,441002,251315,1
train_124,pro-tip-choose-the-right-answer,7571564299638951198,7568533007787642142,27272,108302,0
train_125,me-when-i-should've-been-studying,7565954093844417810,7573632083902352662,873,13183,0
train_126,when-you're-so-cooked-during-test,7565621139121212685,7573059197810560287,152200,11145,1
train_127,your-3rd-all-nighter,7565681856339807543,7570176277605289234,70657,870,1
train_128,reading-with-my-eyes-not-my-head,7573435868061388052,7570738958397639957,5940,6990,0
train_129,mikirin-apasih,7566880496668445960,7572345155773123848,2444812,319016,1
train_130,don't-goon-today,7558650420768427319,7558884826149834039,383266,107757,1
train_131,pov-you-complained-in-front-of-a-stem-major,7569049878689549581,7564962859709517086,8560,13174,0
train_132,no-nike-tech-no-coffee,7571450163189779743,7573829880010247479,329300,4076,1
train_133,walked-into-a-haunted-house-but,7566054587648511245,7573063681894796566,392697,334,1
train_134,i'm-jealous-of-people,7572961908538625293,7540700055318170936,7527,603996,0
train_135,what-i-hear-in-the-dorm,7571537587735711006,7567098246103960887,336537,619,1
train_136,cramps-but-no-blood,7573556223723851063,7516315675812531486,11376,820685,0
train_137,how-i-look-when,7571522008102505739,7548928367928593672,971,2917028,0
train_138,fit-checks-with-audios-i-like,7569341092164848909,7571991621500423479,2714793,2235,1
train_139,i'm-jealous-of-people,7574281161074281783,7574523207877676318,10789,7287,1
train_140,interpol-or-linkedin,7558510973787819267,7565992536217521430,591903,1001131,0
train_141,do-it-sad-do-it-tired,7564113510016224543,7561900718567820566,5804,996332,0
train_142,how-i'm-gonna-hand-in-my-last-paper,7572469952813337868,7574548431625096456,11991,1344,1
train_143,cold-calling-a-hiring-manager,7573674332740750614,7566813920606948622,440991,409709,1
train_144,pinterest-ai-generated,7564774118957141259,7571644271191805202,5020761,189347,1
train_145,non-violent-ways-of-punish,7573427272875609374,7564912167800016141,10447,53840,0
train_146,imperative-that-you-skip,7574124589177965826,7568413972911705351,200701,2881763,0
train_147,me-after-surviving-one-day,7567705563182746902,7568211916988927254,2073058,9315,1
train_148,how-it-feels-to-make-it,7568533648996125974,7568899165107899656,1256352,1517,1
train_149,applying-concealer-to-cover-my-problems,7572311690784787732,7572570836981370134,4176226,218005,1
train_150,looking-unbothered-while-thinking,7566321668071886110,7574712358501649678,3806,322,1
train_151,when-adam-was-lonely,7574419936047680823,7568924353803373838,96,349,0
train_152,this-job-market-is-cooked,7568484334227770679,7515905842177264927,31642,902033,0
train_153,top-5-best-trends,7549721711982251295,7573369988019506454,568120,2281916,0
train_154,how-i'm-posted-up-while-people-are-partying,7567160224516214029,7567514345123384589,13398,140210,0
train_155,so-the-class-isn't-free,7572029695743560990,7572017270566686007,1409,977,1
train_156,top-5-ai-asmr-rank,7571160705370574110,7542271029310262559,2494600,13348803,0
train_157,so-the-class-isn't-free,7566367988526484766,7565012015299808525,29592,0,1
train_158,pov-you-complained-in-front-of-a-stem-major,7563325010253827359,7566862680829513015,541364,559131,0
train_159,pov-opposite-roomates,7566417583130381582,7571591787555343623,1437,359,1
train_160,asking-my-tolan-to-count,7542301245042724110,7541295266662599967,1478594,3834722,0
train_161,how-it-feels-being-in-ap,7566047226573671694,7554093169009380622,1445,5919997,0
train_162,your-.edu-email-is-a-goldmine,7572350659278769439,7572453975765585172,1571090,465,1
train_163,do-it-sad-do-it-tired,7571648848230206740,7564113510016224543,85529,5804,1
train_164,why-didn't-anyone-show-me,7563672167112576270,7566203466268282143,142199,197668,0
train_165,when-friends-reach-flow-state,7572386376067386638,7573769442367147295,106454,606,1
train_166,stop-halfway-through-job-application,7565209082810977554,7571676871910378782,540,1308,0
train_167,how-mfs-react-when,7574465208270212359,7568816003543764245,1263,1197205,0
train_168,pov-you-finally-bought,7570496411729464598,7573417628778171662,860489,942,1
train_169,u-think-u-can-hurt-me,7565693546624240927,7564281062843600159,5718,5332,1
train_170,how-i-feel-in-ap-calc,7564206045699083575,7556963548954496287,276204,396792,0
train_171,why-are-you-not-studying,7566323633413459222,7543240535608282376,6269,16476315,0
train_172,which-one-is-ai,7561123812020899086,7570459306412330262,20459770,3465887,1
train_173,seeing-if-my-janitor-cleans,7573691109226990862,7573734552875650324,96471,747869,0
train_174,me-cuz-i-started-working-at-14,7567735631246298382,7526332154318540040,809548,149251,1
train_175,using-the-exam-to-take-the-exam,7569073801682505015,7501483993582341407,5775,8533867,0
train_176,accounting-majors-cheating,7571811926947155220,7570359482518228245,201066,3524553,0
train_177,us-reconnecting-with-nature,7567764437646740756,7566280542082125074,5700,3402,1
train_178,us-reconnecting-with-nature,7570787307473702174,7574360034981711126,16868,866,1
train_179,using-the-exam-to-take-the-exam,7569955126937505054,7501483993582341407,4635,8533867,0
train_180,pov-they-lied-about-the-salary,7574602242951548215,7541098677067156749,808,1836169,0
train_181,speak-during-a-socratic-seminar,7574580067389525278,7557427532929289527,208,408213,0
train_182,how-mfs-feel-after,7568518996052446486,7572758364430601494,740,1847,0
train_183,me-when-i-gaslight-myself,7571998540545674510,7550789924081962271,159707,1350135,0
train_184,how-mfs-react-when,7572758364430601494,7573400388255108359,1847,539,1
train_185,against-nnn-but-this-year,7567844185957518614,7568184839652904205,695808,3277,1
train_186,seeing-if-my-janitor-cleans,7569726235782155575,7566741352566787359,7601,12996,0
train_187,how-i-look-when,7565982285447580942,7566312073374813453,1504,1290,1
train_188,wear-clothes-inspired-by-movies,7574084897887767816,7574599271614352648,1372,528,1
train_189,seeing-if-my-janitor-cleans,7573734552875650324,7567023278213123359,747869,57653,1
train_190,applying-to-jobs-in-2015,7573510151924157710,7569622927650376982,1192,1563882,0
train_191,how-i'm-posted-up-while-people-are-partying,7568070327746530573,7567637415406357815,9932,12981,0
train_192,me-after-surviving-one-day,7568302853874257166,7567905266784554262,91,818919,0
train_193,minutes-into-...-i-already-failed,7567610709975076109,7568711356938013983,441002,312483,1
train_194,pinterest-ai-generated,7567639445785021752,7564774118957141259,3232883,5020761,0
train_195,feel-it-to-heal-it,7568253908166921527,7572598879418436895,255,1089,0
train_196,how-it-feels-to-make-it,7568769771689250061,7568384651488775445,3030,82794,0
train_197,of-course-it's-hard,7574818110591503638,7568824497038544129,997,1193,0
train_198,job-search-humiliation-ritual,7569279186586619149,7536728674469547269,9551,2836651,0
train_199,u-think-u-can-hurt-me,7566818786054065422,7565203654785895735,3973,1049,1
train_200,non-violent-ways-of-punish,7573192671724915981,7564147183713389879,214343,36099,1
train_201,your-jupiter-placement-=-your-husband,7565029503374724366,7555820730269568278,7409,612790,0
train_202,the-concept-of-having-to,7572711265127222558,7572274213558471943,4420107,1811,1
train_203,how-i-look-when,7550767817268661526,7548928367928593672,1926640,2917028,0
train_204,top-5-best-trends,7573369988019506454,7574518344036994326,2281916,790,1
train_205,do-it-sad-do-it-tired,7567797792572198166,7573341223302286614,8561,360,1
train_206,you-get-one-food-tub,7571553706420882710,7574577497262656823,123,6154,0
train_207,forget-those-stupid-boys,7569165321202846996,7572328059596999958,784352,641,1
train_208,your-.edu-email-is-a-goldmine,7572408940160355598,7571668012575526175,68175,387312,0
train_209,we're-leaving-you-behind,7572461923774532871,7561428532610518328,1593163,588031,1
train_210,help-me-pick-an-outfit,7571772553027423543,7573491957184466206,546,6342,0
train_211,november-is-coming-but-we-are-not,7567671655422512405,7567612415811128598,11198,2313,1
train_212,of-course-it's-hard,7573382040238771512,7568824497038544129,1504,1193,1
train_213,how-it-feels-to-study-x,7568885683851463957,7564206045699083575,1483,276204,0
train_214,why-is-it-that-the-laziest-people,7569050249625390344,7569358761480015126,6212,3298,1
train_215,thought-you-failed-but-realise,7567736824282615062,7568500883512757525,348879,587,1
train_216,when-my-mom-takes-my-phone-away,7566429088705973535,7564930682187828494,566,281950,0
train_217,things-my-students-have-said,7565253558623341879,7564928760143727903,646242,36040,1
train_218,"santa-baby,-slip-all-a's",7574458409282440466,7572241317980343560,8263,365131,0
train_219,ranking-the-best-sora-ai-moments,7572004659930451222,7574018596653796638,904,273662,0
train_220,you-get-one-food-tub,7571553706420882710,7574547250269998350,123,1843,0
train_221,why-are-you-not-studying,7565693570846412053,7519816482289880328,8733,4337221,0
train_222,this-job-market-is-cooked,7568484334227770679,7574650886333402382,31642,831,1
train_223,pro-tip-choose-the-right-answer,7570696522787032342,7570544629234388231,142874,5069951,0
train_224,speak-during-a-socratic-seminar,7557427532929289527,7564152271651523854,408213,4561,1
train_225,snacks-reacting-to-their-taste,7572360709179362563,7572740676442410262,2797283,14679,1
train_226,minutes-into-nnn-i-already-failed,7567704524752702742,7570746988757601558,801667,154371,1
train_227,study-till-the-ice-melts,7574258897473654037,7540481368430595383,605071,17500343,0
train_228,i-just-quit-my-job,7570583296439061773,7571179479565962551,4428,823,1
train_229,against-nnn-but-this-year,7568227457636109590,7567809335825386765,712192,83869,1
train_230,wear-clothes-inspired-by-movies,7573357149590539542,7574084897887767816,4695719,1372,1
train_231,pov-it's-november-and,7568546155647405334,7571942938926796054,1233349,47683,1
train_232,meanwhile-my-room,7574667864435608840,7539649100900257046,894,5142070,0
train_233,why-everyone-deleted-chatgpt,7565283907558575390,7572754468031302920,347647,65,1
train_234,raw-dogging-uni,7567527547886406925,7567145467155369247,1004,3962,0
train_235,your-outfit-is-so-minimalistic,7573693914423594263,7565690554277760286,28074,60466,0
train_236,accounting-majors-cheating,7571681715933007134,7571811926947155220,55595,201066,0
train_237,your-outfit-is-so-minimalistic,7567538996654394654,7523612345260772610,5688,1328388,0
train_238,exam-advice.,7573150696946830613,7572458709457145118,120765,70365,1
train_239,realistic-walmart-try-on,7568935515341212941,7565943537603267854,4824140,2832,1
train_240,quitter-spotify-pour-revenir-aux-ipod,7566378000426568982,7521094128285830430,69864,724520,0
train_241,trying-to-bond-with-my-teacher,7511452692062178565,7565247280656190751,906453,150311,1
train_242,i-just-quit-my-job,7570114496836979982,7571179479565962551,2413988,823,1
train_243,i-love-gen-z-because-wdym,7564152732140047629,7574239744096324884,6580,4345,1
train_244,walked-into-a-haunted-house-but,7573063681894796566,7574673519804566804,334,596,0
train_245,you-get-one-food-tub,7570929056464506134,7567350759679937814,4783494,139072,1
train_246,applying-to-jobs-in-2015,7563941085622357255,7569622927650376982,294095,1563882,0
train_247,you-get-one-food-tub,7574577497262656823,7572377081078680845,6154,4639,1
train_248,pov-entramos-7am-a-clases,7571887419734232340,7463110239710235909,770557,1462270,0
train_249,when-my-future-kid-is-crying,7573135828138872095,7572782715343244574,47540,1925,1
train_250,50%-off-at-spirit-halloween,7568203233814957325,7566347475020221751,2237111,29865,1
train_251,quit-that-job,7572747348527369503,7574281744254242070,1806,449611,0
train_252,how-corny-i-start-sounding,7563120122408455479,7564154560973901111,2447665,21219,1
train_253,me-when-i-find-the-person,7556683133660237086,7515232439568960811,65932,8894068,0
train_254,me-after-surviving-one-day,7567705563182746902,7568302853874257166,2073058,91,1
train_255,speak-during-a-socratic-seminar,7522579636144885047,7558289045248281870,917509,77016,1
train_256,when-my-mom-takes-my-phone-away,7565950110044048653,7566796929724714295,2975,1570,1
train_257,me-cuz-i-started-working-at-14,7572389506385497352,7526332154318540040,142,149251,0
train_258,i'm-jealous-of-people,7573700307897699639,7574523207877676318,422540,7287,1
train_259,this-job-market-is-cooked,7568484334227770679,7535545108624805143,31642,373915,0
train_260,best-job-in-the-world,7565915054630079757,7572703804747959574,91601,339786,0
train_261,trying-to-bond-with-my-teacher,7565606024418233631,7511452692062178565,21303,906453,0
train_262,it's-still-october-32nd,7568388329377516831,7569772135284067639,5181,4660,1
train_263,nnn-has-officially-started,7566384800844483862,7568174639176797471,4057966,138088,1
train_264,pressure-of-nnn,7567794979863530765,7568085997896994070,2012421,334,1
train_265,what's-ur-sat,7557537184887196935,7566442666712403214,3762635,268881,1
train_266,pov-you-complained-in-front-of-a-stem-major,7563325010253827359,7216487944956169515,541364,5501057,0
train_267,when-i-walk-into-a-haunted-house,7564547353978490142,7562682332230978871,148375,2738984,0
train_268,things-my-students-have-said,7571620715640802574,7565168085947272478,11221049,1982,1
train_269,ranking-the-best-sora-ai-moments,7572004659930451222,7573408928147574038,904,17080,0
train_270,picking-the-answer-i-feel-connected-to,7559297889332202774,7572294080118459670,1483228,1696,1
train_271,oh-you-don't-wanna-study,7564509090987183368,7519816482289880328,5936,4337221,0
train_272,this-year-feel-different,7567779462478105858,7567809335825386765,642,83869,0
train_273,how-the-pressure-is-hitting-me,7567675076393307414,7567873254443027732,258558,1045,1
train_274,ap-credits-not-transferring,7570424727592897805,7545556139774102797,2776,110576,0
train_275,living-at-home-while...,7564486439950470413,7558330284731600159,728,619871,0
train_276,accounting-majors-cheating,7571811926947155220,7572568785920560405,201066,9340,1
train_277,me-reading-back-the-timed-essay,7571576234245737742,7569672629037042957,5306,32233,0
train_278,chatgpt-invisible-watermarks,7572737810373807390,7573110954179759382,8510,17703,0
train_279,war-isn't-over,7572180213157612818,7565607849993178382,1005,7313,0
train_280,me-when-i-gaslight-myself,7571998540545674510,7568183326343793942,159707,122655,1
train_281,when-you're-so-cooked-during-test,7565621139121212685,7574133985001966855,152200,1185,1
train_282,war-isn't-over,7572180213157612818,7565117021352938774,1005,262300,0
train_283,things-my-students-have-said,7571620715640802574,7554545873649241374,11221049,8644592,1
train_284,college-is-easier-than-highschool,7568563827936136469,7564320614782143775,4423,3420,1
train_285,walked-into-a-haunted-house-but,7574673519804566804,7570842718314761486,596,224144,0
train_286,pressure-of-nnn,7567127423754472718,7568598577094610231,2858659,4377,1
train_287,how-i-feel-in-ap-calc,7543760976034729246,7556963548954496287,233479,396792,0
train_288,accounting-majors-cheating,7571681715933007134,7573069944611491103,55595,2103,1
train_289,when-you're-so-cooked-during-test,7565621139121212685,7569897365604142366,152200,2185,1
train_290,walked-into-a-haunted-house-but,7568681555254660383,7573063681894796566,1232526,334,1
train_291,top-5-funny-edits,7574709040064843030,7564194454110833975,3719,1195240,0
train_292,essay-to-submit-in-5-mins,7571580746654092575,7553364912773385502,17901,766264,0
train_293,"graduated-from-yale,-still-unemployed",7572583420883176716,7569049249174883605,950,226,1
train_294,oh-you-don't-wanna-study,7556835511722118455,7564509090987183368,72244,5936,1
train_295,your-outfit-is-so-minimalistic,7574217261817384223,7523612345260772610,24111,1328388,0
train_296,go-study-forget-about-boys,7572699390670818593,7573430249577352470,824,702,1
train_297,born-to-be...-forced-to...,7516502759772851478,7566718441978121527,342550,1101,1
train_298,i-just-quit-my-job,7570114496836979982,7570822764131650847,2413988,2613,1
train_299,i-relapsed,7564066495022583070,7520103845469506847,28809,1190976,0
train_300,cramps-but-no-blood,7533328449033817357,7570448623624899895,543009,562,1
train_301,when-my-future-kid-is-crying,7574832633742396703,7571578783459773709,3991,21918,0
train_302,the-concept-of-having-to,7573856078224477454,7573941780836584734,23218,7415,1
train_303,laying-in-bed-scrolling,7543240535608282376,7566481763808202015,16476315,1245,1
train_304,trying-to-register-for-college-classes,7574546095347404062,7566654025286864141,385,440852,0
train_305,quit-that-job,7573753080668278047,7574089637078027542,4535375,67445,1
train_306,applying-concealer-to-cover-my-problems,7571488271394540822,7572311690784787732,5292680,4176226,1
train_307,which-one-is-ai,7564055080027147550,7561123812020899086,287302,20459770,0
train_308,quit-that-job,7573753080668278047,7574061442349944095,4535375,206850,1
train_309,why-everyone-deleted-chatgpt,7565666492310752542,7572754468031302920,212226,65,1
train_310,me-laughing-at-tiktok-when,7574313980546600205,7571606913696206091,575,9195,0
train_311,crush-sorry-hanggang-kaibigan,7566603998434807048,7566619860013206802,184,332,0
train_312,pov-you-just-lost-nnn,7567844185957518614,7568589467464764683,695808,2261968,0
train_313,pov-you-just-lost-nnn,7568589467464764683,7568190215685262595,2261968,793666,1
train_314,50%-off-at-spirit-halloween,7567516341666630925,7567764005192748318,2328234,81683,1
train_315,job-search-humiliation-ritual,7563805049340579102,7567591000160357662,27574,3416,1
train_316,nagsimba-kasi-broken-pero,7573676900648750356,7568877918177430805,278,4681,0
train_317,me-cuz-i-started-working-at-14,7572389506385497352,7564897456702442760,142,176,0
train_318,worst-high-schools-in-[location],7568907995510213895,7571661266117283102,4215,1334,1
train_319,pov-they-lied-about-the-salary,7574741840939748616,7572188583642025238,644,571113,0
train_320,too-tired-to-study-but-can't-sleep,7566116608049941790,7569367746383760651,1374,490,1
train_321,me-when-i-should've-been-studying,7568070788327197959,7569618788723854613,1069,904,1
train_322,when-i-walk-into-a-haunted-house,7574659702760541454,7563818134046543118,880,2509747,0
train_323,interpol-or-linkedin,7565955772438334742,7574075468819795222,50863,8021,1
train_324,shopping-with-coupons-for-free,7574466236587740429,7574467936031722783,1468,1293,1
train_325,you're-a-man,7537491898047483166,7531757689379048712,537362,3480006,0
train_326,accounting-majors-cheating,7572302997460389151,7573069944611491103,1494,2103,0
train_327,pov-you-complained-in-front-of-a-stem-major,7216487944956169515,7564157459816926494,5501057,755,1
train_328,after-years-of-losing-nnn,7568283438344654111,7567811120539454742,89056,666986,0
train_329,me-reading-back-the-timed-essay,7564118938796264717,7564206627994225942,1395,585,1
train_330,mikirin-apasih,7573531499211951368,7572345155773123848,4980,319016,0
train_331,pov-you-finally-bought,7574607914690759943,7570496411729464598,655,860489,0
train_332,how-mfs-feel-after,7568198170967280918,7568537517037800760,2245176,16293,1
train_333,crush-sorry-hanggang-kaibigan,7566603998434807048,7572626168315120914,184,451,0
train_334,pov-exams-are-in-a-month,7564084602185256200,7574169952412863756,248,52699,0
train_335,feel-it-to-heal-it,7564556362433252639,7564946843667303736,5548032,586,1
train_336,this-year-feel-different,7567524418323320077,7567779462478105858,1132,642,1
train_337,my-boyfriend-took-these-photos,7565318904332045586,7565313743761067271,145513,535,1
